title,link,image,episode,rating,views,quality,year,genres,description,season,type
Alice to Therese no Maboroshi Koujou,https://animevietsub.page/phim/alice-to-therese-no-maboroshi-koujou-a5188/,https://cdn.animevietsub.page/data/poster/2024/01/15/animevsub-x5T1FXav6v.jpg,N/A,9.5 trong số 10 dựa trên 165 thành viên đánh giá,"329,742",HD,2023,"Sci-Fi, Romance, Drama","

Khi một vụ nổ nhà máy khiến thị trấn nhỏ rơi vào tình trạng đóng băng vĩnh viễn, cậu bé 14 tuổi Masamune cùng bạn...",Mùa thu,phim lẻ
Boku no Hero Academia: UA Heroes Battle,https://animevietsub.page/phim/boku-no-hero-academia-ua-heroes-battle-a5134/,https://cdn.animevietsub.page/data/poster/2023/12/01/animevsub-xXWAOIWXPp.jpg,N/A,8.6 trong số 10 dựa trên 67 thành viên đánh giá,"289,376",HD,2023,"Shounen, School, Super Power, Comedy, Action",Phần OVA của Boku no Hero Academia.,Mùa thu,phim lẻ
Tensei shitara Slime Datta Ken: Coleus no Yume,https://animevietsub.page/phim/tensei-shitara-slime-datta-ken-coleus-no-yume-a5118/,https://cdn.animevietsub.page/data/poster/2023/11/01/animevsub-iFeX9GD0Cd.jpg,N/A,9.3 trong số 10 dựa trên 110 thành viên đánh giá,"770,679",HD,2023,"Shounen, Fantasy, Comedy, Adventure, Action","

Satoru Mikami vốn đang có cuộc sống bình lặng thì bị một gã côn đồ đâm chết trên phố. Anh kết thúc cuộc đời ở...",Mùa thu,phim lẻ
Nanatsu no Taizai: Ensa no Edinburgh,https://animevietsub.page/phim/nanatsu-no-taizai-ensa-no-edinburgh-a4867/,https://cdn.animevietsub.page/data/poster/2022/12/20/animevsub-OtpBj9f1g7.jpg,N/A,5.2 trong số 10 dựa trên 57 thành viên đánh giá,"266,208",HD,2022,"Shounen, Supernatural, Fantasy, Adventure, Magic, Action","

Khi các thế lực hiểm ác đe dọa hòa bình của Britannia, một hoàng tử trẻ dấn thân vào hành trình nguy hiểm để cứu...",Mùa thu,phim lẻ
Khóa Chặt Cửa Nào Suzume,https://animevietsub.page/phim/suzume-no-tojimari-a4555/,https://cdn.animevietsub.page/data/poster/2022/11/12/animevsub-kxbiJPFzbN.jpg,N/A,9.7 trong số 10 dựa trên 716 thành viên đánh giá,"2,057,367",FHD,2022,"Fantasy, Adventure","Suzume, một cô gái 17 tuổi sống trong một thị trấn yên tĩnh ở Kyushu, bắt gặp một thanh niên đi du lịch nói với cô rằng...",Mùa thu,phim lẻ
"Natsu e no Tunnel, Sayonara no Deguchi",https://animevietsub.page/phim/natsu-e-no-tunnel-sayonara-no-deguchi-a4804/,https://cdn.animevietsub.page/data/poster/2022/11/11/animevsub-xMZKnWAn2R.jpg,N/A,9.7 trong số 10 dựa trên 815 thành viên đánh giá,"1,475,264",FHD,2022,"Sci-Fi, Romance, Drama, Mystery","



“Này, cậu đã từng nghe về đường hầm Urashima bao giờ chưa? Chỉ cần bước vào trong là nó có thể ban cho cậu mọi...",Mùa thu,phim lẻ
Sword Art Online: Progressive Movie - Kuraki Yuuyami no Scherzo,https://animevietsub.page/phim/sword-art-online-progressive-movie-kuraki-yuuyami-no-scherzo-a4457/,https://cdn.animevietsub.page/data/poster/2022/08/02/animevsub-9XrnP6CKuA.jpg,N/A,9.6 trong số 10 dựa trên 359 thành viên đánh giá,"1,490,834",FHD,2022,"Romance, Game, Fantasy, Adventure, Action",Phần Sword Art Online: Progressive thứ 2. Câu chuyện xoay quanh tại Aincard tầng thứ 5.,Mùa thu,phim lẻ
Haikyuu!! Movie 4: Concept no Tatakai,https://animevietsub.page/phim/haikyuu-movie-4-concept-no-tatakai-a3947/,https://cdn.animevietsub.page/data/poster/2023/03/29/animevsub-Vr19q1hwK8.jpg,N/A,9.3 trong số 10 dựa trên 28 thành viên đánh giá,"6,411,610",FHD,2017,Sports,Phim tóm tắt về trận đấu với Học viện Shiratorizawa diễn ra trong mùa thứ ba.,Mùa thu,phim lẻ
Watashi ni Tenshi ga Maiorita! Precious Friends,https://animevietsub.page/phim/watashi-ni-tenshi-ga-maiorita-precious-friends-a4952/,https://cdn.animevietsub.page/data/poster/2023/04/18/animevsub-o0H2BqBhMP.jpg,N/A,9.7 trong số 10 dựa trên 120 thành viên đánh giá,"87,065",HD,2022,"Shoujo Ai, Slice of Life, Comedy","Phần Movie của Watashi ni Tenshi ga Maiorita!

",Mùa thu,phim lẻ
Macross Δ Movie 2: Zettai Live!!!,https://animevietsub.page/phim/macross-movie-2-zettai-live!!!-a4942/,https://cdn.animevietsub.page/data/poster/2023/04/11/animevsub-ghh0e1Et18.jpg,N/A,7.8 trong số 10 dựa trên 15 thành viên đánh giá,"111,810",HD,2021,"Sci-Fi, Romance, Music, Military, Mecha, Action",Bộ phim tiếp nối những sự kiện đã xảy ra trong TV-Series. Lần này phi đội Delta cùng với nhóm Walküre phải đối mặt với...,Mùa thu,phim lẻ
"Nhắn Gửi Một Tôi, Người Đã Yêu Em",https://animevietsub.page/phim/nhan-gui-mot-toi-nguoi-da-yeu-em-a4714/,https://cdn.animevietsub.page/data/poster/2022/08/30/animevsub-H4zYNl7mSC.png,N/A,9.4 trong số 10 dựa trên 212 thành viên đánh giá,"600,835",FHD,2022,"Sci-Fi, Romance","Ở nơi mà các thế giới song song chỉ khác nhau ở những điểm nhỏ và một cách vô thức, con người thường xuyên du hành...",Mùa thu,phim lẻ
"Nhắn Gửi Tất Cả Các Em, Những Người Tôi Đã Yêu",https://animevietsub.page/phim/nhan-gui-tat-ca-cac-em-nhung-nguoi-toi-da-yeu-a4713/,https://cdn.animevietsub.page/data/poster/2022/08/30/animevsub-3tqOaBwOUz.png,N/A,9.3 trong số 10 dựa trên 172 thành viên đánh giá,"413,284",FHD,2022,"Sci-Fi, Romance","Ở nơi mà các thế giới song song chỉ khác nhau ở những điểm nhỏ và một cách vô thức, con người thường xuyên du hành...",Mùa thu,phim lẻ
Tensei shitara Slime Datta Ken Movie: Guren no Kizuna-hen,https://animevietsub.page/phim/tensei-shitara-slime-datta-ken-movie-guren-no-kizuna-hen-a4487/,https://cdn.animevietsub.page/data/poster/2023/03/24/animevsub-iDvWCparAc.jpg,N/A,9.5 trong số 10 dựa trên 461 thành viên đánh giá,"2,023,939",FHD,2022,"Fantasy, Demons, Comedy, Adventure, Magic, Action",Phần Movie của Tensei shitara Slime Datta Ken.,Mùa thu,phim lẻ
Soukyuu no Fafner: Dead Aggressor - The Beyond Part 3,https://animevietsub.page/phim/soukyuu-no-fafner-dead-aggressor-the-beyond-part-3-a4807/,https://cdn.animevietsub.page/data/poster/2022/11/18/animevsub-UMMrdw1PuS.jpg,N/A,8.2 trong số 10 dựa trên 5 thành viên đánh giá,"54,652",HD,2020,"Sci-Fi, Drama, Mecha, Action","Tập 7-9 của Soukyuu no Fafner: Dead Aggressor - The Beyond.

",Mùa thu,phim lẻ
Pokemon (2019): Harukanaru Aoi Sora,https://animevietsub.page/phim/pokemon-2019-harukanaru-aoi-sora-a4868/,https://cdn.animevietsub.page/data/poster/2022/12/24/animevsub-mr2xcEgIpy.jpg,N/A,9.3 trong số 10 dựa trên 20 thành viên đánh giá,"190,650",HD,2022,"Fantasy, Comedy, Adventure, Kids, Action","

Tập phim đặc biệt vẽ lên ""một ngày đặc biệt như mọi khi"" của Satoshi và Pikachu, cùng với một chàng trai kì lạ tên...",Mùa thu,phim lẻ
Violet Evergarden: Recollections,https://animevietsub.page/phim/violet-evergarden-recollections-a4865/,https://cdn.animevietsub.page/data/poster/2022/12/17/animevsub-8CW3l6FGUR.jpg,N/A,9.7 trong số 10 dựa trên 126 thành viên đánh giá,"283,814",HD,2021,"Slice of Life, Fantasy, Drama",Movie tóm tắt của Violet Evergarden.,Mùa thu,phim lẻ
Tonikaku Kawaii: Seifuku,https://animevietsub.page/phim/tonikaku-kawaii-seifuku-a4814/,https://cdn.animevietsub.page/data/poster/2022/11/22/animevsub-Qp4YlcnF47.jpg,N/A,9.7 trong số 10 dựa trên 238 thành viên đánh giá,"414,562",HD,2022,"Shounen, Romance, Comedy",OVA của Tonikaku Kawaii: Seifuku,Mùa thu,phim lẻ
Massara,https://animevietsub.page/phim/massara-a4806/,https://cdn.animevietsub.page/data/poster/2022/11/13/animevsub-rIdjlK45G0.png,N/A,9.7 trong số 10 dựa trên 50 thành viên đánh giá,"36,769",HD,2021,"Slice of Life, Music","

Câu chuyện của anime xoay quanh một ca sĩ kiêm nhạc sĩ, Nazuna, người sắp ngừng theo đuổi ước mơ của mình và một cô...",Mùa thu,phim lẻ
Angel Cop,https://animevietsub.page/phim/angel-cop-a4801/,https://cdn.animevietsub.page/data/poster/2022/11/04/animevsub-AKer5wxgyE.jpg,N/A,9.7 trong số 10 dựa trên 3 thành viên đánh giá,"37,273",HD,1989,"Sci-Fi, Police, Action","

Câu chuyện ban đầu bắt đầu bằng việc đối phó với chủ nghĩa khủng bố vào cuối thế kỷ 20, nơi Nhật Bản là nền...",Mùa thu,phim lẻ
Baoh Raihousha,https://animevietsub.page/phim/baoh-raihousha-a4784/,https://cdn.animevietsub.page/data/poster/2022/10/18/animevsub-tlgDaMj34x.jpg,N/A,7.5 trong số 10 dựa trên 6 thành viên đánh giá,"21,839",HD,1989,"Shounen, Sci-Fi, Super Power, Martial Arts, Action","Một thanh niên vô tội, Ikuroo, bị một tổ chức xấu xa, Doress cấy vào não anh ta một loại ký sinh trùng tên là Baoh. Ký sinh...",Mùa thu,phim lẻ
Blue Gender: The Warrior,https://animevietsub.page/phim/blue-gender-the-warrior-a4782/,https://cdn.animevietsub.page/data/poster/2022/10/18/animevsub-d1tI8crfDg.jpg,N/A,8.2 trong số 10 dựa trên 5 thành viên đánh giá,"23,899",HD,2002,"Sci-Fi, Romance, Space, Drama, Adventure, Horror, Military, Mecha","

Đó là một thời kỳ hỗn loạn. Trái Đất không còn như trước đây nữa. Nó đã bị nhiễm một loại bọ giống loài...",Mùa thu,phim lẻ
Midnight Eye: Gokuu II,https://animevietsub.page/phim/midnight-eye-gokuu-ii-a4778/,https://cdn.animevietsub.page/data/poster/2022/10/15/animevsub-zaQgF1QGW7.jpg,N/A,7.8 trong số 10 dựa trên 5 thành viên đánh giá,"18,777",HD,1989,"Seinen, Sci-Fi, Super Power, Adventure, Mystery, Action","Goku, thám tử tư sói đơn độc đã trở lại, được Yoshiko, một phụ nữ bí ẩn, xinh đẹp và rất sợ hãi, ký hợp đồng...",Mùa thu,phim lẻ
Street Fighter Alpha: Generations,https://animevietsub.page/phim/street-fighter-alpha-generations-a4775/,https://cdn.animevietsub.page/data/poster/2022/10/15/animevsub-eSHKbvmpa2.jpg,N/A,10 trong số 10 dựa trên 1 thành viên đánh giá,"18,879",HD,2005,"Shounen, Adventure","Khi Ryu trở lại để bày tỏ lòng kính trọng với người thầy đã qua đời của mình, Gouken, anh bị dày vò bởi những ký...",Mùa thu,phim lẻ
Vampire Hunter D (2000),https://animevietsub.page/phim/vampire-hunter-d-2000-a4771/,https://cdn.animevietsub.page/data/poster/2022/10/14/animevsub-uIALuuE2nO.jpg,N/A,9.5 trong số 10 dựa trên 38 thành viên đánh giá,"142,984",HD,2000,"Sci-Fi, Romance, Vampire, Fantasy, Drama, Horror, Action","Câu chuyện xoay quanh D, ""dhampir"" khét tiếng (sinh ra từ cha là ma cà rồng và mẹ là con người) bị ruồng bỏ và là thợ săn...",Mùa thu,phim lẻ
The Cockpit,https://animevietsub.page/phim/the-cockpit-a4770/,https://cdn.animevietsub.page/data/poster/2022/10/14/animevsub-QO3Wcy8RjJ.jpg,N/A,10 trong số 10 dựa trên 7 thành viên đánh giá,"23,843",HD,1993,"Historical, Military","Tập 1: Slipstream

Về một phi công Luftwaffe, người phải lựa chọn giữa nhiệm vụ của mình đối với đất nước của...",Mùa thu,phim lẻ
Makai Toshi Shinjuku,https://animevietsub.page/phim/makai-toshi-shinjuku-a4767/,https://cdn.animevietsub.page/data/poster/2022/10/14/animevsub-CegVwM6SJl.jpg,N/A,7 trong số 10 dựa trên 3 thành viên đánh giá,"24,259",HD,1988,"Shounen, Romance, Supernatural, Adventure, Horror","Cha của Kyoya là một chiến binh vĩ đại, bị giết dưới bàn tay của nhà ngoại cảm ma quỷ, Rebi Ra, người hiện đã mở ra...",Mùa thu,phim lẻ
Hokuto no Ken Zero: Kenshirou Den,https://animevietsub.page/phim/hokuto-no-ken-zero-kenshirou-den-a4764/,https://cdn.animevietsub.page/data/poster/2022/10/14/animevsub-lkyCsuFeRo.jpg,N/A,5.5 trong số 10 dựa trên 4 thành viên đánh giá,"17,065",HD,2008,Martial Arts,Movie 3 của Hokuto no Ken Zero,Mùa thu,phim lẻ
Sword Art Online: Progressive,https://animevietsub.page/phim/sword-art-online-progressive-a3842/,https://cdn.animevietsub.page/data/poster/2022/07/09/animevsub-cMVp0Ge46x.jpg,N/A,9.7 trong số 10 dựa trên 391 thành viên đánh giá,"1,594,853",FHD,2021,"Romance, Game, Fantasy, Adventure, Action","""Không có cách nào để đánh bại trò chơi này. Sự khác biệt duy nhất là bạn chết khi nào và ở đâu ...""Một tháng đã trôi...",Mùa thu,phim lẻ
Dakaretai Otoko 1-i ni Odosarete Imasu. Movie: Spain-hen,https://animevietsub.page/phim/dakaretai-otoko-1-i-ni-odosarete-imasu-movie-spain-hen-r1-a4575/,https://cdn.animevietsub.page/data/poster/2022/05/10/animevsub-m5fjDt79JB.jpg,N/A,9.6 trong số 10 dựa trên 90 thành viên đánh giá,"593,209",FHD,2021,"Shounen Ai, Drama, Comedy","Người con trai thứ ba của Gia tộc York mang tên Richard. Cậu tin rằng bản thân bị nguyền rủa, được sinh ra với số phận...",Mùa thu,phim lẻ
Mộc Lan: Hoàng Không Xuất Thế,https://animevietsub.page/phim/moc-lan-hoang-khong-xuat-the-i1-a4559/,https://cdn.animevietsub.page/data/poster/2022/04/20/animevsub-2XtwBCNM4v.jpg,N/A,7 trong số 10 dựa trên 3 thành viên đánh giá,"42,061",HD,2020,"Drama, Adventure, Action","

Mộc Lan: Hoành Không Xuất Thế đã được chuyển thể lại, bối cảnh diễn ra vào thời Bắc Ngụy Trung Quốc. Mộc Lan giỏi...",Mùa thu,phim lẻ
Hùng Sư Thiếu Niên,https://animevietsub.page/phim/hung-su-thieu-nien-i1-a4527/,https://cdn.animevietsub.page/data/poster/2022/03/30/animevsub-XZC6fW914r.jpg,N/A,9.5 trong số 10 dựa trên 44 thành viên đánh giá,"87,571",FHD,2021,,"Hùng Sư Thiếu Niên - Tên tiếng Anh ''I Am What I Am''Ba cậu trai A Quyên, A Miêu và A Cẩu dưới sự huấn luyện của...",Mùa thu,phim lẻ
Summer Ghost,https://animevietsub.page/phim/summer-ghost-a4520/,https://cdn.animevietsub.page/data/poster/2022/03/27/animevsub-RKWLKyCo1p.jpg,N/A,9.7 trong số 10 dựa trên 406 thành viên đánh giá,"377,851",BD/Bluray,2021,Supernatural,"

Bạn đã nghe về truyền thuyết đô thị ""Summer Ghost"" bao giờ chưa? Người ta đồn đại rằng hồn ma của một người phụ...",Mùa thu,phim lẻ
Human Lost: Ningen Shikkaku,https://animevietsub.page/phim/human-lost-ningen-shikkaku-a3757/,https://cdn.animevietsub.page/data/poster/2020/08/19/animevsub-rZfOzR4iJj.jpg,N/A,4.7 trong số 10 dựa trên 10 thành viên đánh giá,"37,681",HD,2019,"Seinen, Psychological, Drama, Historical","""Cuộc đời của tôi có nhiều xấu hổ.""Tokyo, 2036 (Showa năm 111): một cuộc cách mạng trong điều trị y tế đã chiến thắng...",Mùa thu,phim lẻ
Kamiarizuki no Kodomo,https://animevietsub.page/phim/kamiarizuki-no-kodomo-a4462/,https://cdn.animevietsub.page/data/poster/2022/02/08/animevsub-gp0lQoJZDj.jpg,N/A,6.8 trong số 10 dựa trên 9 thành viên đánh giá,"23,831",HD,2021,Mystery,"Câu chuyện trong bộ phim tập trung vào cô bé tên là Kanna, một cô bé đã mất đi tình yêu thương sau khi mẹ của cô qua đời....",Mùa thu,phim lẻ
Toaru Kagaku no Railgun: Misaka-san wa Ima Chuumoku no Mato Desu kara,https://animevietsub.page/phim/toaru-kagaku-no-railgun-misaka-san-wa-ima-chuumoku-no-mato-desukara-i2-a2572/,https://cdn.animevietsub.page/data/poster/2017/09/23/animevsub-29NMylY3di.jpg,N/A,9.1 trong số 10 dựa trên 13 thành viên đánh giá,"54,091",HD,2010,"Sci-Fi, Comedy, Action","OVA của Toaru Kagaku no Railgun 

",Mùa thu,phim lẻ
Encanto: Vùng Đất Thần Kỳ,https://animevietsub.page/phim/encanto-vung-dat-than-ky-a4446/,https://cdn.animevietsub.page/data/poster/2022/01/26/animevsub-UYRj374uKR.jpg,N/A,9.3 trong số 10 dựa trên 20 thành viên đánh giá,"166,944",FHD,2021,"Fantasy, Drama, Comedy, Adventure, Music","Encanto: Vùng đất thần kỳ kể về một gia đình được gọi là Madrigals, sống tại thị trấn đầy mê hoặc ở vùng múi của...",Mùa thu,phim lẻ
Shoujo☆Kageki Revue Starlight Movie,https://animevietsub.page/phim/shoujo-kageki-revue-starlight-movie-a4434/,https://cdn.animevietsub.page/data/poster/2022/01/10/animevsub-QSy2R6VUyP.jpg,N/A,9.8 trong số 10 dựa trên 19 thành viên đánh giá,"32,280",HD,2021,"School, Music",Shoujo☆Kageki Revue Starlight Movie,Mùa thu,phim lẻ
Chuyển Sinh Trở Thành Tiểu Thư Độc Ác Chỉ Toàn Flag Hủy Diệt Trong Otome Game... OVA,https://animevietsub.page/phim/chuyen-sinh-tro-thanh-tieu-thu-doc-ac-chi-toan-flag-huy-diet-trong-otome-game-ova-a4422/,https://cdn.animevietsub.page/data/poster/2021/12/30/animevsub-da2wzUAkyN.jpg,N/A,9.6 trong số 10 dựa trên 80 thành viên đánh giá,"205,335",HD,2021,"Shoujo, School, Romance, Harem, Fantasy, Drama, Comedy","

Phần OVA của Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta.",Mùa thu,phim lẻ
BanG Dream! Movie: Episode of Roselia - I: Yakusoku,https://animevietsub.page/phim/bang-dream-movie-episode-of-roselia-i-yakusoku-a4411/,https://cdn.animevietsub.page/data/poster/2021/12/19/animevsub-5bNoLZJ5Pk.jpg,N/A,9.3 trong số 10 dựa trên 24 thành viên đánh giá,"31,206",HD,2021,Music,"Để vươn tới sân khấu của ""FES."", Yukina Minato quyết định thành lập một ban nhạc. Năm cô gái bắt đầu hành trình vươn...",Mùa thu,phim lẻ
BanG Dream! Movie: Episode of Roselia - II: Song I Am.,https://animevietsub.page/phim/bang-dream-movie-episode-of-roselia-ii-song-i-am-a4412/,https://cdn.animevietsub.page/data/poster/2021/12/19/animevsub-VsjhwA99nV.jpg,N/A,9.2 trong số 10 dựa trên 24 thành viên đánh giá,"26,727",HD,2021,Music,Phần tiếp theo của BanG Dream! Episode of Roselia I: Promise,Mùa thu,phim lẻ
Bright: Samurai Soul,https://animevietsub.page/phim/bright-samurai-soul-a4356/,https://cdn.animevietsub.page/data/poster/2021/10/12/animevsub-REHcMsiqqu.jpg,N/A,7 trong số 10 dựa trên 1 thành viên đánh giá,"23,571",HD,2021,"Fantasy, Adventure, Action","Chiếc đũa quyền năng: Linh hồn samurai - Bright: Samurai Soul là bộ phim hoạt hình thuộc thể loại cổ trang, võ thuật, hành động...",Mùa thu,phim lẻ
Precure Miracle Leap Movie: Minna to no Fushigi na Ichinichi,https://animevietsub.page/phim/precure-miracle-leap-movie-minna-to-no-fushigi-na-ichinichi-a4302/,https://cdn.animevietsub.page/data/poster/2021/09/14/animevsub-YwcvLT7kEc.jpg,N/A,9.6 trong số 10 dựa trên 5 thành viên đánh giá,"50,181",HD,2020,"Shoujo, Fantasy, Magic, Action","Một phần về Precure mới. Lần này nói về sự tấn công của Byogen , những sinh vật có âm mưu lan truyền bệnh tật cho trái...",Mùa thu,phim lẻ
Tại sao bà giáo lại ở đây?! OVA,https://animevietsub.page/phim/tai-sao-ba-giao-lai-o-day-ova-a4234/,https://cdn.animevietsub.page/data/poster/2021/08/23/animevsub-irknNyEuEY.jpg,N/A,8.6 trong số 10 dựa trên 52 thành viên đánh giá,"620,401",FHD,2019,"Seinen, School, Ecchi, Comedy","Một tập riêng lẻ nói về chuyến đi sau lễ tốt nghiệp, ở đây trải qua nhiều chuyện lắm haha",Mùa thu,phim lẻ
"Shin Kimagure Orange☆Road: Soshite, Ano Natsu no Hajimari",https://animevietsub.page/phim/shin-kimagure-orangeroad-soshite-ano-natsu-no-hajimari-a4216/,https://cdn.animevietsub.page/data/poster/2021/09/21/animevsub-eShbzDj1Qg.jpg,N/A,1.7 trong số 10 dựa trên 27 thành viên đánh giá,"45,730",HD,1996,"Shounen, Romance, Slice of Life, Fantasy, Ecchi, Drama, Comedy, Magic","

Đã vài năm trôi qua và Kyosuke Kasuga giờ đã 19. Một cuộc điện thoại bí ẩn cảnh báo anh ta về những chiếc xe đang tới...",Mùa thu,phim lẻ
Lupin III: Cagliostro no Shiro,https://animevietsub.page/phim/lupin-iii-cagliostro-no-shiro-a1714/,https://cdn.animevietsub.page/data/poster/2017/09/14/animevsub-63ggU1c1pc.jpg,N/A,7 trong số 10 dựa trên 3 thành viên đánh giá,"40,309",BD,1979,"Shounen, Comedy, Adventure","Lupin 3: Castle of Cagliostro - ""Lâu đài Cagliostro"" là anime dài màn ảnh rộng đầu tiên thực sự có ấn tượng của đạo diễn...",Mùa thu,phim lẻ
Kimi dake ni Motetainda.,https://animevietsub.page/phim/kimi-dake-ni-motetainda-a3749/,https://cdn.animevietsub.page/data/poster/2020/08/19/animevsub-COfmUK1xek.jpg,N/A,9.3 trong số 10 dựa trên 14 thành viên đánh giá,"55,500",HD,2019,"School, Slice of Life, Drama",Bộ phim sẽ tập trung vào cuộc sống thanh xuân của năm nam sinh cao trung xinh trai. Mỗi người đều có những đặc điểm khiến...,Mùa thu,phim lẻ
Fate/stay night Movie: Heaven's Feel - I. Presage Flower,https://animevietsub.page/phim/fatestay-night-movie-heavens-feel-i-presage-flower-i1-a4200/,https://cdn.animevietsub.page/data/poster/2022/03/05/animevsub-atiCXNS4vO.jpg,N/A,8.9 trong số 10 dựa trên 39 thành viên đánh giá,"485,368",HD,2017,"Supernatural, Fantasy, Magic, Action","Emiya Shirou là một pháp sư trẻ tuổi đang theo học tại Học viện Homurahara ở thành phố Fuyuki. Một ngày nọ, sau khi dọn dẹp...",Mùa thu,phim lẻ
Pokemon Movie 23: Coco,https://animevietsub.page/phim/pokemon-movie-23-coco-a4196/,https://cdn.animevietsub.page/data/poster/2021/07/19/animevsub-uR2Sk8fOig.jpg,N/A,9.3 trong số 10 dựa trên 12 thành viên đánh giá,"289,705",HD,2020,"Game, Fantasy, Comedy, Adventure, Kids, Action","Câu chuyện của bộ phim mới lấy bối cảnh ở Rừng Okoya, một thiên đường Pokémon được bảo vệ bởi các quy tắc nghiêm...",Mùa thu,phim lẻ
