user_id,titles_watched
11,"Ochikobore Fruit Tart, Bách Luyện Thành Thần, Vẻ Đẹp Đích Thực, Saikin  Imouto no Yousu ga Chotto Okashiinda ga., Tần Thời Minh Nguyệt Phần 5: Quân Lâm Thiên Hạ, Busou Renkin, Bright: Samurai Soul, Sakurada Reset, Thám tử lừng danh Conan: 15 phút tĩnh lặng, Astarotte no Omocha!, Siêu Chiến Giáp! The Second Raid: Wari to Hima na Sentaichou no Ichinichi, Kagi Dorobo no Mesoddo, Thermae Romae Novae, Meiji Tokyo Renka, Bảng Xếp Hạng Quốc Vương Mùa 2, Mushishi, Mirai Sentai Timeranger, Thức Tỉnh Đi! Shin Shou, Mai Mai Shinko to Sennen no Mahou"
12,"Cuộc xâm lăng của bé Mực OVA, Shin Tennis no Ouji-sama: Hyoutei vs. Rikkai - Game of Future, Teekyuu 2, Pokemon (2019): Harukanaru Aoi Sora, Sekaiichi Hatsukoi, Siêu Chiến Giáp, Nami yo Kiitekure, Rec, Hiệu Thuốc Tại Dị Giới, Kimetsu no Yaiba Recompilation Specials, Piace: Watashi no Italian, Hayate no Gotoku! Can't Take My Eyes Off You, Kimi no Kokoro wa Kagayaiteru kai?, Tinh Hà Chí Tôn Mùa 2, Màu Của Ảo Giác, Azur Lane: Bisoku Zenshin!, Towa no Quon"
13,"Kemono no Souja Erin, Ở Rể, Nhật Ký Của Haruki Đặc biệt"
14,"Hai thế giới, Bất Thường Tại Trường Phép Thuật Mùa 2, Kizumonogatari II: Nekketsu-hen, Thất Nghiệp Chuyển Sinh Part 2, Evangelion: 1.0 You Are (Not) Alone, Maken-Ki! Two Specials, Komi không thể giao tiếp, Sakura Taisen: Gouka Kenran, Thành Phố Bí Ẩn, Thanh Gươm Diệt Quỷ: Đường Đến Làng Rèn Gươm, Taishou Chicchai-san"
15,"Vĩnh Hằng Kiếm Tổ, Hammer Session, Cardfight!! Vanguard: overDress, Tiệm Đồ Cổ A Xá, La storia della Arcana Famiglia, Mujaki no Rakuen, High School Fleet OVA, Manyuu Hikenchou Specials, Black Fox, Saint Seiya Movie 4, Youkai Watch: Shadow Side, Cao Thủ Bóng Rổ, Vương Giả Đại Sư Huynh, Neon Genesis Evangelion: Death & Rebirth, Hắc Quản Gia III, CUỒNG NỘ - MÙA HÈ ĐÓNG BĂNG, Kamisama no Inai Nichiyoubi"
16,"Alice to Therese no Maboroshi Koujou, Naruto: Người kế thừa Hỏa chí, Muhyo to Rouji no Mahouritsu Soudan Jimusho"
17,"Touhou Gensou Mangekyou, Ảo Ảnh Thuần Khiết, The Secret Life of Pets, Bananya, Loop 7-kaime no Akuyaku Reijou wa  Moto Tekikoku de Jiyuu Kimama na Hanayome Seikatsu wo Mankitsu suru"
18,"Shoujo-tachi wa Kouya wo Mezasu, Nogizaka Haruka no Himitsu: Purezza"
19,"Majisuka Gakuen (Season 3), Quân Hữu Vân, Bất Lương Nhân Phần 3"
20,"Gintama.: Gin no Tamashii-hen, Hetalia Axis Powers, Spy x Family Movie: Code: White, Ninja Collection, Đao Kiếm Loạn Vũ 2017, Shoujo☆Kageki Revue Starlight: Rondo Rondo Rondo, Tight-rope, Free!: Dive to the Future, Người Đại Diện Thời Gian OVA, Amanchu! Special, Asura Cryin' 2, Huyết Và Tâm, Brothers Conflict, Công Nghệ Giả Kim, Bungaku Shoujo Memoire, Jouran: Công Chúa Của Tuyết và Máu, Thức Tỉnh Đi! Shin Shou, Ma Đạo Tổ Sư 2, Isekai Shokudou"
21,"Thám Tử Lừng Danh Conan: Câu Chuyện Về Haibara Ai: Chuyến Tàu Sắt Bí Ẩn Màu Đen, Slayers Revolution, Nogizaka Haruka no Himitsu: Finale, Osomatsu-san Movie, Tinh Thần Biến Phần 3"
22,"Hammer Session, Khóa Chặt Cửa Nào Suzume, Ác Ma Pháp Tắc, Strike Witches: Road to Berlin, School Rumble San Gakki, Cái Giá Phải Trả OVA 1, Pupipo!, Ano Hi Mita Hana No Namae O Bokutachi Wa Mada Shiranai (live action), The iDOLM@STER: 765 Pro to Iu Monogatari, Midara na Ao-chan wa Benkyou ga Dekinai, Gravitation, Kimi ga Aruji de Shitsuji ga Ore de, Karasu wa Aruji wo Erabanai, Denji Sentai Megaranger"
23,"Heike Monogatari, Sát Thủ Lưỡi Kéo Mùa 4, Akikan!, KOIZUMI CÔ NÀNG YÊU RAMEN SP, Thủ Tịch Ngự Linh Sư, Shokugeki no Souma: Shin no Sara, Harukana Receive, Obey Me!, Vạn Cổ Tối Cường Tông, Haitai Nanafa, Macross Δ, Migi to Dali, Ở Rể 2, Cố Lên Douki-chan, Con Đường Mùa Xuân OVA, Bầu Trời Đầy Sao, Jormungand, Sora no Manimani, Katsute Mahou Shoujo to Aku wa Tekitai shiteita., Yoru no Kuni"
24,"BanG Dream! Garupa☆Pico: Oomori, Sử Ma của Zero: Princesses no Rondo Picture Drama, Doraemon Movie 34: Shin Nobita no Daimakyou - Peko to 5-nin no Tankentai, Shining Star, Thuỷ Thủ Mặt Trăng, Thần Vô Gia Cư"
25,"Brave Story, Coppelion, The Marginal Service, Juushin Enbu: Hero Tales, Nữ Thánh Binh OVA, Thermae Romae Novae, Linh hồn của máy 2: Lời thì thầm"
26,"Trò Chơi Của Thần, Bleach Movie 4: Khúc Thơ Của Địa Ngục, DRAMAtical Murder OVA: Data_xx_Transitory, Seiken no Blacksmith, Psycho-Pass: Sinners of the System Case.1 - Tsumi to Bachi, Keijo!!!!!!!!, Thám tử lừng danh Conan: Kho báu dưới đáy đại dương, Ngạ Quỷ Vùng Tokyo: Jack, Nhật Kí Tương Lai (TV), Thành phố bí ẩn (Phần 3), The Disappearance of Conan Edogawa: The Worst Two Days in History, Digimon Adventure tri. 3: Thú Nhận, Vividred Operation, Xác Chết Trường Học, So Ra No Wo To Specials, Kakegurui: Live Action, One Piece Film: Gold, Irodorimidori, Chuukan Kanriroku Tonegawa"
27,"Aquarion Evol, Chuunibyou demo Koi ga Shitai! Ren Specials, Chào Mừng Đến Với Lớp Học Đề Cao Thực Lực 2, Sát Nhân Mặt Nạ Ếch"
28,"Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka, Nhờ Bạn Đó! Hệ Thống Chiến Thần, Sekai kara Neko ga Kieta nara, Kaichou wa Maid-sama!, Chén thánh: Đêm Định Mệnh - Nhiệm vụ cuối cùng, Enmusubi no Youko-chan, Psycho-Pass, Sát Thủ Lưỡi Kéo Mùa 4, Ike! Ina-chuu Takkyuubu, Berserk: Ougon Jidai-hen II - Doldrey Kouryaku"
29,"Days (TV), Inu ni Nattara Suki na Hito ni Hirowareta., Riding Bean, Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen, Monsters: Ippyaku Sanjou Hiryuu Jigoku, 4-nin wa Sorezore Uso wo Tsuku, Tada-kun wa Koi wo Shinai, Kemeko Deluxe!, Free!: Dive to the Future, ReLIFE: Kanketsu-hen, Astarotte no Omocha! EX, Ginga Tetsudou no Yoru: Fantasy Railroad in the Stars, Hidamari Sketch x Hoshi Mittsu, Monster Strike, Cuồng Thần Ma Tôn"
30,"Tân Phong Thần: Na Tra Trùng Sinh, Bakuman., Kỷ nguyên Evol, Boku no Hero Academia: UA Heroes Battle"
31,"Tiên Võ Truyện, Scarlet Nexus, Aria The Origination: Sono Choppiri Himitsu no Basho ni..., Hidan no Aria, D-Frag!, Berserk: Ougon Jidai-hen III - Kourin, Shikioriori, Fairy Tail: Nhiệm Vụ 100 Năm, Kaze to Ki no Uta Sanctus: Sei Naru Kana, Seirei Tsukai no Blade Dance, Cuộc Chiến Xe Tăng Movie, Shin Hokuto no Ken, Cuộc phiêu lưu kỳ bí"
32,"Cô Nàng rắc rối, Ojou to Banken-kun, Yêu Yamada ở Lv999!, Macademi Wasshoi!, Tần Thời Minh Nguyệt Phần 4: Vạn Lý Trường Thành, Cuộc Sống Nông Dân Ở Thế Giới Khác, Tư Vô Tà (2020), Mahoromatic: I'm Home!, Death March kara Hajimaru Isekai Kyousoukyoku, Đầu Gấu Bắc Cực, Kimi ni Todoke 3rd Season, Burn the Witch, Cô Gái Bí Ẩn X, Overman King Gainer, RWBY 3, Daitoshokan no Hitsujikai"
33,"Paprika - Kẻ trộm giấc mơ, Fate/Grand Order: First Order, Girls Bravo: Mùa 2, Fudanshi Koukou Seikatsu"
34,"Sekai de Ichiban Tsuyoku Naritai!, Lá Bài Cổ 2, Kaginado 2nd Season, Kiniro no Corda: Blue♪Sky, Sanrio Danshi, Senkou no Night Raid, JoJo no Kimyou na Bouken: Ougon no Kaze, Precure All Stars Movie New Stage: Mirai no Tomodachi, Yuragi-sou no Yuuna-san OVA, Chuyên Gia Diệt Qủy: Kuro no Iede, Kinsou no Vermeil: Gakeppuchi Majutsushi wa Saikyou no Yakusai to Mahou Sekai wo Tsukisusumu, Anh Trai Cá Muối, Maya and the Three, Oneechan ga Kita, Manyuu Hikenchou"
35,"Makeruna!! Aku no Gundan!, Hammer Session, Denpa-teki na Kanojo, Natsume Yuujinchou San, Kidou Senkan Nadesico, Ngạ Quỷ Tokyo, Man Hoang Tiên Giới"
36,"Man Hoang Tiên Giới, Mở Ra Một Thế Giới Tuyệt Vời OVA 2, Marimo no Hana: Saikyou Butouha Shougakusei Densetsu, Chuunibyou demo Koi ga Shitai! Ren Lite, Aru Zombie Shoujo no Sainan, Synduality: Noir, Doraemon Movie 30: Nobita no Ningyo Daikaisen, Toàn Chức Cao Thủ, Học Viện Anh Hùng Mùa 2, Hiệu Thuốc Tại Dị Giới, Nhất Thế Độc Tôn, Bách Yêu Phổ (Phần 2)"
37,"Pháo Hoa  Nên Ngắm Từ Dưới Hay Bên Cạnh?, Trò Chơi Sinh Tử Specials, BanG Dream! Garupa☆Pico: Oomori"
38,"UN-GO, Tokyo Underground, Saraiya Goyou, Queen's Blade: Rurou no Senshi Specials, Ultraman Mebius & Ultraman Brothers, Dogs: Stray Dogs Howling In The Dark, Junjou Romantica"
39,"Digimon Adventure: Last Evolution Kizuna, Attack on Titan (Live-Action), Doraemon: Nobita Và Cuộc Chiến Vũ Trụ Tí Hon, Moshidora, Hagure Yuusha no Aesthetica: Hajirai Ippai, Shoukoku no Altair, Chào Mừng Cậu Đến Trường Iruma-kun Mùa 3, Những Thiếu Niên Trong Không Gian, Kekkai Sensen, Busou Renkin, GOSEI SENTAI DAIRANGER, Lớp Học Quái Dị, Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka, Bắt Đầu Từ Cô Hoạch Điểu: Long Thành Phong Vân, 100 Cô Bạn Gái Yêu Bạn Rất Rất Rất Rất Rất Nhiều"
40,Chi's Sweet Home
41,"Kiếp Chuyển Sinh Ngọt Ngào, Haiyore! Nyaruko-san F, Net-juu no Susume Special, Trigun: Badlands Rumble, Những Cô Nàng Thú Đáng Yêu 2, Nanbaka 2, Cuộc phiêu lưu của Rider, Cô Gái Có Thể Nhìn Thấy Chúng, Ane Log: Moyako Neesan no Tomaranai Monologue, Chuyển Sinh Thành Đệ Thất Hoàng Tử  Tôi Quyết Định Trau Dồi Ma Thuật, Bikkurimen, Phù Thủy Bay Petit, Nhà Có 3 Vu Nữ, Thôn Phệ Tinh Không Phần 2, Hundred, El Hazard: The Magnificent World, Cuộc Chiến Giữa Hai Quốc Gia: Argevollen, Boku no Tsuma wa Kanjou ga Nai, Truyện Kinh Dị Nhật Phần 2, Ginga Kikoutai Majestic Prince Movie: Kakusei no Idenshi"
42,"Heroman Specials, Nhà Khoa Học Rơi Vào Lưới Tình  Thử Giải Mã Nào, IS: Infinite Stratos 2, Toaru Kagaku no Railgun T, Birdie Wing: Câu Chuyện Của Các Nữ Golf Thủ, Aikatsu Friends!: Kagayaki no Jewel, Harmonie, Asu no Yoichi!, Shokugeki no Souma"
43,"Con Đường Mùa Xuân, Sword Art Online Alternative: Gun Gale Online II, PriPri Chii-chan!!, One Piece: Episode of Sorajima, Bungaku Shoujo Memoire, Kappa no Coo to Natsuyasumi, Doraemon Movie 17: Nobita to Ginga Express, Jashin-chan Dropkick', Super Crooks, Sanrio Danshi, Lớp Học Ám Sát, Mirai Shounen Conan - Cậu Bé Thông Minh, Nhắn Gửi Một Tôi  Người Đã Yêu Em"
44,Seven Knights Revolution: Eiyuu no Keishousha
45,"Arcane 2nd Season, Naruto Ngoại Truyện: Rock Lee, Golden Kamuy 3rd Season"
46,"Chuyên Gia Diệt Qủy: Kuro no Iede, Cô Bạn Tôi Thầm Thích Lại Quên Mang Kính Rồi, Kakegurui Twin, Tử Xuyên OVA, Tsurune: Kazemai Koukou Kyuudoubu, Death Note: Rewrite, Mini Toji, Maou-sama  Retry! R, Gintama: Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi, Nhật Ký Hán Hoá, Kaijuu Girls: Ultra Kaijuu Gijinka Keikaku 2nd Season, Tinh Thần Biến Phần 4, Baja no Studio, Pacific Rim: The Black, Cencoroll Connect, NEET Kunoichi to Nazeka Dousei Hajimemashita, Mushishi Zoku Shou, Maburaho, Fairy Ranmaru: Anata no Kokoro Otasuke Shimasu"
47,"Asu no Yoichi!, Hetalia World★Stars, Gi(a)rlish Number, Fate/Grand Order: Himuro no Tenchi - 7-nin no Saikyou Ijin-hen, Amagi Công Viên Rực Rỡ, Owarimonogatari, Amaenaide yo!!"
48,"Medalist, Mái ấm của Chi 2, Nana Maru San Batsu, Hakuouki: Otogisoushi, NegaPosi Angler"
49,"Những Nàng Hầu Gái Ở Suối Nước Nóng, Vạn Cổ Thần Thoại, Doom Patrol, Vạn Giới Độc Tôn, Strike Witches: 501 Butai Hasshin Shimasu!, Aikatsu Stars!, ClassicaLoid 2nd Season"
50,"Ta Đã Chọc Tức Cả Đám Tu Luyện Giả, Katsute Mahou Shoujo to Aku wa Tekitai shiteita., Pan de Peace!, Zyuden Sentai Kyoryuger, Thám tử lừng danh Conan: Hoa hướng dương rực lửa, Cupid's Chocolates 2nd Season, Shoumetsu Toshi, Lãng khách Kenshin: Đại hỏa Kyoto, Thất Tinh, Skate-Leading☆Stars"
51,"Ex-Arm, Gokukoku no Brynhildr Special, Kết Giới Sư, Chưởng Giáo Tông Môn Ẩn Thế, Huyền thoại đất liền và đại dương, Adachi to Shimamura, Cấm Thư Ma Thuật - Phần 3, Ramen Akaneko, New Initial D Movie: Legend 2 - Tousou, Joshikousei: Girl's High, Kaibutsu Oujo, Người Yêu Siêu Cấp, Nhắn Gửi Một Tôi  Người Đã Yêu Em, Buzzer Beat, Nazotokine, Binh Chủ Kỳ Hồn, Làm Nóng Lá Gan Chú Heo, Thế Giới Vô Hạn, Madougushi Dahliya wa Utsumukanai"
52,"Bokurano, Senran Kagura Specials"
53,"Idol Memories, Mayonaka no Occult Koumuin, Huyền thoại đất liền và đại dương, Kagi Dorobo no Mesoddo, Ta Có Thể Giác Ngộ Vô Hạn, Yichang Shengwu Jianwenlu, Thế giới gia tốc: Infinite∞Burst, Vạn Vực Phong Thần, Houkago no Pleiades (TV), Helck, One Piece Movie 8: Episode of Alabasta - Sabaku no Oujo to Kaizoku-tachi, Cuộc sống thường ngày, Tanaka-kun wa Kyou mo Kedaruge"
54,"Delicious Party♡Precure, Michiko to Hatchin"
55,"Tsugu Tsugumomo, Kimi ni Todoke 3rd Season, Aiura, Last Period: Owarinaki Rasen no Monogatari"
56,"Regalia: The Three Sacred Stars, Getter Robo Arc"
57,"Romeo no Aoi Sora, Clone Baby, Yoroiden Samurai Troopers, Aquarion Logos, Aoki Hagane no Arpeggio: Ars Nova, The Fable, Divine Gate, Hắc Quản Gia II, Ái Tình Flops, Otome wa Boku ni Koishiteru: Futari no Elder, To LOVE-Ru Darkness, Kakkou no Iikagen, Hataraku Saibou Black (TV), Chân Trời Ký Lục (Phần 2), Idol Memories, InuYasha: Kanketsu-hen, New Initial D Movie: Legend 2 - Tousou"
58,Inu to Neko Docchi mo Katteru to Mainichi Tanoshii
59,"Bắc Đẩu Thần Quyền 2, Chén thánh: Đêm Định Mệnh - Nhiệm vụ cuối cùng, Toaru Kagaku no Railgun, A Day Before Us 2, Pokemon Movie 16: Genesect Và Huyền Thoại Thức Tỉnh, Sekai Seifuku: Bouryaku no Zvezda, Ryuugajou Nanana no Maizoukin (TV), Peter Grill to Kenja no Jikan, Nhóm Nhạc Của Những Ước Mơ (Phần 2), Raise wa Tanin ga Ii, Thái Nhất Kiếm Tiên Truyện, Thám tử lừng danh Conan: Lễ cầu hồn của thám tử, Thật Khó Để Yêu Một Otaku, Thám Tử Lừng Danh Connan: Bác Mori Chào Năm Mới, Chạy trốn định mệnh, Sekaiichi Hatsukoi Movie: Yokozawa Takafumi no Baai"
60,"Lớp Học Anh Hùng, Denki-gai no Honya-san, Long Riders!, 86 2nd Season, Gintama: Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi, Mobile Suit Gundam NT, Given Movie 2: Hiiragi Mix, Thám Tử Conan Movie 5: Những Giây Cuối Cùng Tới Thiên Đường, Oshiete! Galko-chan OVA, Taisou Zamurai, Gal to Kyouryuu, Kakushigoto"
61,"Tôi Trở Nên Mạnh Hơn Nhờ Nâng Cấp Các Kỹ Năng Của Nông Dân., Hội Chứng Tuổi Thanh Xuân Movie, Strike Witches 2, Quán Nhỏ Của Lý Lâm Khắc, Majin Tantei Nougami Neuro, Lớp Học Ám Sát 2: Kagaijugyou-hen, Ragnastrike Angels, Hataraku Saibou Black (TV), Himouto! Umaru-chan - Cô Em Gái Hai Mặt, Hôn Thê Cúc Cu, Căn Hộ Ma Quái, Bakugan Battle Brawlers: New Vestroia, Macross Flash Back 2012, Binbo Danshi, KAMEN RIDER X KAMEN RIDER W & DECADE – MOVIE WARS 2010, Dual Parallel! Trouble Adventures, Bokura ga Ita, Kanokon Specials"
62,"Kidou Keisatsu Patlabor, Ký Túc Xá Dễ Thương: Hajimete no, Vợ Tôi Trở Thành Học Sinh Tiểu Học, Chân Trời Ký Lục (Phần 2)"
63,"Aru Asa Dummy Head Mic ni Natteita Ore-kun no Jinsei, Đấu Phá Thương Khung - Phần 4, One Room"
64,"Code Geass: Boukoku no Akito 4 - Nikushimi no Kioku kara, Nữ Quỷ Nhà Bên Mùa 2, Chuunibyou demo Koi ga Shitai! Ren: The Rikka Wars, La storia della Arcana Famiglia, Overlord: Ple Ple Pleiades, Cars 3, Itsuka Tenma no Kuro Usagi OVA, Đấu Phá Thương Khung Phần 5, Ling Qi, One Piece: Episode of Luffy - Hand Island no Bouken"
65,"Hajime no Ippo: New Challenger, Tinh Vực Bốn Vạn Năm, Gyakkyou Burai Kaiji: Hakairoku-hen, WWW.Working!!, Lớp học ưu tú, Thập Phương Kiếm Thánh, Koi to Senkyo to Chocolate Special, Goodbye  Don Glees!"
66,"Sword Art Online: Progressive Movie - Kuraki Yuuyami no Scherzo, Phong Hoả Chiến Kỷ"
67,"Medalist, IS: Infinite Stratos 2 - World Purge-hen, Alps no Shoujo Heidi, Prince of Stride: Alternative, Hội Pháp Sư (Phần Cuối), Psycho-Pass, Great Teacher Onizuka Taiwan (2014), Tư Vô Tà (2020)"
68,"Dantalian no Shoka: Ibarahime, Naruto: Tòa tháp bị mất, Appare-Ranman!, Shadowverse (TV), Hatsukoi Monster"
69,"Kí Ức Tuổi Học Trò 2, Cupid's Chocolates, Zan Sayonara Zetsubou Sensei, Long Thần Vạn Tướng Chi Cuồng Vương (Tây Hành Kỷ Tiền Truyện), Obey Me!, Chuunibyou demo Koi ga Shitai! Lite, Tenrou: Sirius the Jaeger, Ninja Sentai Kakuranger, Bạch Xà, Majisuka Gakuen (Season 1), Vong Linh Đau Khổ Muốn Giải Nghệ, Thua Lỗ Thành Thủ Phủ Từ Trò Chơi, Soutai Sekai, Nichijou, Bakumatsu, Lập Harem Chốn Mê Cung Ở Dị Giới, Fate/strange Fake"
70,"Hồi ký Vanitas Phần 2, Siêu Chiến Giáp, The Secret Life of Pets, Sabage-bu!, Bartender, CLAMP in Wonderland 2, Chén thánh: Đêm Định Mệnh - Nhiệm vụ cuối cùng, Mary Và Đoá Hoa Phù Thuỷ, Lễ Cầu Siêu Của Vua Hoa Hồng, Youkai Gakkou no Sensei Hajimemashita!, Hồng Hoang Linh Tôn, Aikatsu Stars! Movie, Sentai Red Isekai de Boukensha ni Naru, Bakuage Sentai Boonboomger, Katte ni Kaizou, Power Rangers Ninja Steel, Gokukoku no Brynhildr, Anne Happy♪, Chú Heo Màu Đỏ"
71,"Khi Ve Sầu Khóc - Phần Kết, Ranh Giới Quỷ, Ghost Hunt, Gun x Sword"
72,"Sukitte Ii na yo.: Dareka ga, Thất Giới Đệ Nhất Tiên, Cô Gái Bí Ẩn X: Nazo no Natsu Matsuri, Bikkurimen, .hack//The Movie: Sekai no Mukou ni, Final Fantasy VII: Dirge of Cerberus, Working!!, Choujigen Game Neptune The Animation OVA, Meiji Tokyo Renka, K: Seven Stories Movie 5 - Memory of Red - Burn, Nhật Ký Hán Hoá Phần 3, Tay Ném Chủ Lực, Minami-ke, Trấn Hồn Nhai, Ikkitousen: Great Guardians, Subarashiki Kono Sekai The Animation"
73,"Totsukuni no Shoujo (2022), Magi: Sinbad no Bouken, Vatican Kiseki Chousakan, Tada-kun wa Koi wo Shinai, Time Travel Shoujo: Mari Waka to 8-nin no Kagakusha-tachi, Bảy Viên Ngọc Rồng Siêu Cấp: Siêu Anh Hùng, One Piece: Episode of Luffy - Hand Island no Bouken, Ergo Proxy, Rồng Ăn Cỏ Bị Mang Tiếng Ác, Kuutei Dragons, Dragonaut: The Resonance Special, Vị Thần Trong Toilet, Kaiketsu Jouki Tanteidan, Fuufu Ijou  Koibito Miman., Tengen Toppa Gurren Lagann, Mahou Shoujo Magical Destroyers, Seiken Tsukai no World Break, Little Witch Academia (TV), Ma pháp Cấm, Rilu Rilu Fairilu: Yousei no Door"
74,"Girls Bravo: Mùa 2, Otome wa Boku ni Koishiteru: Futari no Elder, Kamisama no Inai Nichiyoubi"
75,"Space☆Dandy, Seijuu Sentai Gingaman, Nhật Ký Hán Hoá, Vẻ Đẹp Đích Thực, Ancien and the Magic Tablet - Giải Mã Giấc Mơ, Những Đứa Trẻ Đến Từ Thế Giới Khác"
76,"Given Movie 2: Hiiragi Mix, Đấu Phá Thương Khung - Phần 4"
77,"Sword Art Online Alternative: Gun Gale Online, Vạn Giới Tiên Tung, Mahou Shoujo Ore, Ma Pháp Cấm: Endymion no Kiseki, Girlfriend (Note), Bokusatsu Tenshi Dokuro-chan 2, Thánh Nữ Cecilia Và Mục Sư Lawrence, Bất Lương Nhân Phần 3, Future Card Shin Buddyfight, Gundam Build Fighters, Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season, Dota: Dòng Máu Rồng, Mahou Shoujo Magical Destroyers, Thám Tử Lừng Danh Conan: Nàng dâu Halloween, Rozen Maiden: Ouvertüre, Tiếng Hát Vang Dội Bầu Trời"
78,"Around 40, Pokemon Legends Arceus: Yuki Hodo Kishi Futaai, Seiken no Blacksmith, Druaga no Tou: The Sword of Uruk, BOSS, Cái Giá Phải Trả OVA, One Piece: Adventure of Nebulandia, Miêu Chi Minh, Khi Nàng Thơ Yêu - Josee to Tora to Sakana-tachi, Tensura Nikki: Tensei shitara Slime Datta Ken, Absolute Duo, Shin Hokuto no Ken, Sanzoku no Musume Ronja, Cyborg 009: Call of Justice 1, Yofukashi no Uta, Urusei Yatsura, Rinne no Lagrange"
79,"Gintama: The Semi-Final, Kagami no Kojou - Cô Thành Trong Gương, One Piece Film: Red, Thất Nghiệp Chuyển Sinh Mùa 2, Working!!!: Lord of the Takanashi"
80,"Nodame Cantabile: Paris-hen, Anh Thợ Saitou Đa Năng Ở Dị Giới, Sasami-san@Ganbaranai, Fate/Zero: Onegai! Einzbern Soudanshitsu, Occultic;Nine, Belle: Rồng và Công Chúa Tàn Nhang, Hiệp Can Nghĩa Đảm Thẩm Kiếm Tâm (Ngoại Truyện), Hakuouki, Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu. II, Haikyu!! Movie: Trận Chiến Bãi Phế Liệu, Cuộc Chiến Xe Tăng Specials"
81,"Kết Nối Trái Tim, Kiếp Chuyển Sinh Ngọt Ngào"
